section,subcat,group_ref,group_name,pos,oem_ref,replaces,qty,part_name,image_file
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,15,65 088 503 80,,01,柴油发动机组件,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,17,98 134 527 80,,01,润滑管夹密封垫,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,18,98 134 544 80,,01,润滑管O型圈,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,70,6913 06,,02,(MUL) 六凹边圆头金属用螺栓,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L12L,涡轮增压器回油软管,72,98 567 229 80,,04,(MUL) 自锁螺帽,K9PP003L12L.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,01,96 756 279 80,,01,新中冷器,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,02,98 037 791 80,,01,中冷器支架,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,03,98 037 788 80,,01,中冷器支架,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,04,98 037 789 80,,01,中冷器支架,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,70,6925 46,,03,(MUL) 凸缘螺栓,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L26A,配气室,72,6922 H3,RP 6230 06,03/01,(MUL)六角头带垫圈螺栓,K9PP003L26A.jpg
机械 Mécanique,涡轮增压,K9PP003L50A,涡轮增压器润滑,01,98 120 311 80,,01,排气再循环电磁阀,K9PP003L50A.jpg
机械 Mécanique,涡轮增压,K9PP003L50A,涡轮增压器润滑,05,98 247 032 80,,01,电磁阀真空管,K9PP003L50A.jpg
机械 Mécanique,涡轮增压,K9PP003L50A,涡轮增压器润滑,07,98 112 495 80,,01,涡轮真空管接头,K9PP003L50A.jpg
机械 Mécanique,涡轮增压,K9PP003L50A,涡轮增压器润滑,70,16 115 673 80,,02,(MUL)凸缘螺母,K9PP003L50A.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,01,98 109 582 80,,01,空气管,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,02,98 109 583 80,RP 98 317 107 80,01/01,空气管,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,04,98 211 542 80,,01,进气混合器,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,07,98 132 945 80,,01,空气混合器支座,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,10,98 132 948 80,,01,进气道,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,11,98 201 007 80,,01,交换器空气管,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,12,98 201 006 80,,01,交换器空气管,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,13,1011 16,,01,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,16,1436 S7,,01,螺栓销,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,17,98 219 265 80,,01,空气管接头密封圈,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,18,98 142 241 80,,01,空气管接头密封圈,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,19,98 137 583 80,,01,空气管接头密封圈,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,20,98 137 567 80,,01,空气管接头密封圈,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,70,6925 P3,,02,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,71,98 022 442 80,,01,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,72,0250 69,,02,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,73,6925 45,,06,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,76,96 448 622 80,,03,(MUL) 凸缘螺栓,K9PP003L67B.jpg
机械 Mécanique,涡轮增压,K9PP003L67B,涡轮增压器空气管路,78,98 027 744 80,,03,(MUL)六角头带垫圈螺栓,K9PP003L67B.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,01,98 273 069 80,RP 16 381 621 80,01/01,发动机曲轴,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,03,98 232 742 80,,05,滑动半轴瓦,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,04,0118 G3,,02,曲轴止推片,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,05,98 209 610 80,,01,曲轴油封,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,06,98 209 787 80,,01,曲轴油封,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,07,98 562 361 80,,01,发动机正时齿轮,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,08,98 216 243 80,,01,单减震皮带轮,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,09,0516 A3,,01,曲轴皮带轮螺栓,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,10,98 162 806 80,,01,起动齿圈支承法兰盘,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,11,0537 60,,06,发动机飞轮螺栓,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,13,98 232 685 80,,03,滑动半轴瓦,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,14,98 232 668 80,,02,滑动半轴瓦,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,70,6976 14,,01,曲轴键,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP005A55L,曲轴,71,6965 12,,03,(MUL) 销子,K9PP005A55L.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,01,16 290 316 80,,01,连杆套件(4个),K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,02,98 156 704 80,,04,轴衬,K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,03,16 088 506 80,,08,发动机连杆螺栓,K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,04,16 290 321 80,,01,活塞套件(4个),K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,05,16 290 322 80,,04,活塞环套件(3个),K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,06,0630 31,,08,发动机活塞销卡环,K9PP006A53A.jpg
机械 Mécanique,曲轴,K9PP006A53A,连杆 水套 活塞 活塞环,08,98 139 969 80,,04,连杆半轴瓦,K9PP006A53A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,01,98 199 236 80,,01,发动机凸轮轴皮带轮,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,02,16 289 256 80,,01,正时皮带,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,03,98 260 289 80,,01,正时链条,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,04,16 289 257 80,,01,正时皮带张紧轮,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,05,16 289 258 80,,01,惰轮,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,06,98 239 548 80,,01,正时张紧器,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,08,98 250 137 80,,01,发动机凸轮轴,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,09,98 250 178 80,,01,发动机凸轮轴,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,10,98 239 200 80,,01,发动机凸轮轴油封,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,16,0806 49,,01,凸轮轴皮带轮螺栓,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,18,16 381 596 80,,01,水泵+正时组件,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,19,16 996 665 80,,01,发动机正时组件,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,20,4503 43,,01,(MUL)凸缘螺母,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,22,1718 45,,01,涡轮增压器支架螺柱,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,24,96 448 622 80,,02,(MUL) 凸缘螺栓,K9PP008A54A.jpg
机械 Mécanique,正时齿轮,K9PP008A54A,正时皮带 凸轮轴齿轮,71,6976 14,,01,曲轴键,K9PP008A54A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,01,98 141 524 80,,08,进气阀,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,02,98 424 674 80,,08,排气阀,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,03,98 100 557 80,RP 16 922 874 80,08/01,发动机气门杆密封垫,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,04,0952 C4,RP 65 005 311 80,08/01,气阀弹簧,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,05,0951 52,,08,气门弹簧座,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,06,0950 22,,16,气阀锁块,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,07,98 101 441 80,RP 16 922 870 80,16/01,气门摇臂,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,08,98 199 175 80,,16,气门间隙调节挺柱,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,13,98 100 557 80,RP 16 922 874 80,08/01,发动机气门杆密封垫,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,14,0952 C4,RP 65 005 311 80,08/01,气阀弹簧,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,15,0951 52,,08,气门弹簧座,K9PP009A55A.jpg
机械 Mécanique,缸盖,K9PP009A55A,气门 导管 摇臂机构,16,0950 22,,16,气阀锁块,K9PP009A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,01,16 289 550 80,,01,发动机油泵,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,02,98 087 252 80,,01,发动机机油泵集滤器,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,03,98 157 719 80,,01,O型密封圈,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,04,98 157 720 80,,01,机油泵集滤器密封垫,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,05,98 055 833 80,,02,发动机机油泵密封垫,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,09,98 170 703 80,,01,机油泵电磁阀,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,71,6925 45,,09,(MUL) 凸缘螺栓,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP110A55A,发动机 机油泵 链条 皮带 集滤器,72,98 219 995 80,,01,固定螺栓,K9PP110A55A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,01,98 139 732 80,,01,发动机油底壳,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,02,0311 39,,01,发动机放油塞,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,03,0164 88,,01,堵塞密封圈,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,04,98 235 323 80,,01,机油滤清器支架,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,05,98 142 941 80,,01,机油过滤器壳体密封圈,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,06,98 142 944 80,,01,发动机油水热交换器,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,07,98 142 946 80,,01,发动机机油交换器密封圈,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,08,16 829 537 80,,01,E：机油滤清器PSA,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,09,98 142 927 80,,01,机油滤清器盖,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,10,98 244 337 80,,01,发动机机油标尺,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,12,98 244 209 80,,01,发动机机油尺导管,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,14,0250 A6,,04,(MUL) 凸缘螺栓,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,15,98 178 055 80,RP 98 493 474 80,04/01,活塞机油喷嘴,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,16,0167 78,,01,(MUL)壳体堵塞,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,17,98 090 526 80,,01,发动机油压开关,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,18,0167 78,,01,(MUL)壳体堵塞,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,20,98 116 727 80,,15,(MUL) 凸缘螺栓,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,21,0133 16,,02,(MUL) 螺柱,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,22,1170 29,,02,O型密封圈,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,70,6939 97,,02,(MUL)带垫圈螺母,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,71,6923 95,,01,(MUL)六角头带垫圈螺栓,K9PP111A26A.jpg
机械 Mécanique,润滑油,K9PP111A26A,发动机 油底壳 滤清器 传感器,72,98 142 942 80,,09,固定螺栓,K9PP111A26A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,01,98 368 348 80,,01,水泵,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,02,16 289 417 80,RP 16 381 595 80,01/01,水泵,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,03,98 201 743 80,,01,发动机进水总管,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,04,98 130 398 80,,01,O型密封圈,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,05,98 071 781 80,,01,进水管堵塞,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,06,98 071 782 80,,01,O型密封圈,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,07,1338 C3,,01,水温传感器固定夹,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,08,16 381 533 80,,01,交换器出水管,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,10,16 289 421 80,,01,水泵密封垫,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,11,98 132 166 80,,01,O型密封圈,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,12,98 132 171 80,,03,O型密封圈,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,13,98 132 176 80,,01,O型密封圈,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,15,6925 69,,04,(MUL) 凸缘螺栓,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,70,0250 69,,01,(MUL) 凸缘螺栓,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112A56A,水泵衬垫 出水管,73,98 132 346 80,,06,螺母,K9PP112A56A.jpg
机械 Mécanique,冷却系统,K9PP112C20A,发动机电动风扇,01,98 063 138 80,RP 98 329 300 80,01/01,发动机风扇,K9PP112C20A.jpg
