區段,子分類,群組代碼,群組名稱(繁),位置,OEM編號,替換件,數量,名稱(繁中),名稱(English),名稱(Français),圖檔
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,02,16 289 417 80,RP 16 381 595 80,01/01,水泵,COOLANT PUMP,POMPE A EAU,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,03,98 201 743 80,,01,發動機進水總管,ENGINE WATER INTAKE TANK,COLLECTEUR D’ENTREE EAU MOTEUR,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,04,98 130 398 80,,01,O型密封圈,O-RING,JOINT TORIQUE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,05,98 071 781 80,,01,進水管堵塞,PLUG COLLECTOR,BOUCHON COLLECTEUR ENTREE EAU,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,06,98 071 782 80,,01,O型密封圈,O-RING,JOINT TORIQUE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,07,1338 C3,,01,水溫感測器固定夾,CLNT TEMP SNSR RETAINING CLIP,CLIP MAINTIEN CAPT TEMPERA EAU,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,08,16 381 533 80,,01,交換器出水管,OUTLET HOSE,RACCORD SORTIE EAU ECHANGEUR,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,10,16 289 421 80,,01,水泵密封墊,WATER PUMP SEAL,JOINT DE POMPE A EAU,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,11,98 132 166 80,,01,O型密封圈,O-RING,JOINT TORIQUE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,12,98 132 171 80,,03,O型密封圈,O-RING,JOINT TORIQUE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,13,98 132 176 80,,01,O型密封圈,O-RING,JOINT TORIQUE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,15,6925 69,,04,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,70,0250 69,,01,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112A56A,水泵襯墊 出水管,73,98 132 346 80,,06,螺母,NUT,ECROU,K9PP112A56A.jpg
机械 Mécanique,冷卻系統,K9PP112C20A,發動機電動風扇,01,98 063 138 80,RP 98 329 300 80,01/01,發動機風扇,ENGINE MOTOR-DRIVEN FAN,MOTOVENTILATEUR DE MOTEUR,K9PP112C20A.jpg
机械 Mécanique,冷卻系統,K9PP112C20A,發動機電動風扇,02,98 292 205 80,RP 98 470 197 80,01/01,冷卻風扇電控盒,COOLING FAN ELEC CONTROL UNIT,BOITIER ELECTRIQUE COMMAND GMV,K9PP112C20A.jpg
机械 Mécanique,冷卻系統,K9PP112C20A,發動機電動風扇,70,6925 L3,,02,MUL 帶固定平墊圈的大內六角花形半圓頭的螺釘,(MUL) CBLX RDL SCREW,(MUL) VIS CBLX RDL,K9PP112C20A.jpg
机械 Mécanique,冷卻系統,K9PP112C20A,發動機電動風扇,71,6925 L3,,01,MUL 帶固定平墊圈的大內六角花形半圓頭的螺釘,(MUL) CBLX RDL SCREW,(MUL) VIS CBLX RDL,K9PP112C20A.jpg
机械 Mécanique,冷卻系統,K9PP113A10A,散熱器,01,96 757 479 80,,01,新水散熱器,ENGINE RADIATOR NEW,RADIATEUR D’EAU NEUF,K9PP113A10A.jpg
机械 Mécanique,冷卻系統,K9PP113A10A,散熱器,02,96 736 304 80,,02,散熱器固定爪,RADIATOR FIXING BRACKET,PATTE DE FIXATION DE RADIATEUR,K9PP113A10A.jpg
机械 Mécanique,冷卻系統,K9PP113A10A,散熱器,03,98 006 135 80,,02,散熱器固定爪,RADIATOR FIXING BRACKET,PATTE DE FIXATION DE RADIATEUR,K9PP113A10A.jpg
机械 Mécanique,冷卻系統,K9PP113A10A,散熱器,70,6924 32,,01,MUL RLX螺栓,(MUL) RLX SCREW,(MUL) VIS RLX,K9PP113A10A.jpg
机械 Mécanique,冷卻系統,K9PP113A10A,散熱器,71,8718 32,,02,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP113A10A.jpg
机械 Mécanique,冷卻系統,K9PP113A30A,散熱器,01,96 757 479 80,,01,新水散熱器,ENGINE RADIATOR NEW,RADIATEUR D’EAU NEUF,K9PP113A30A.jpg
机械 Mécanique,冷卻系統,K9PP113A30A,散熱器,02,96 736 304 80,,02,散熱器固定爪,RADIATOR FIXING BRACKET,PATTE DE FIXATION DE RADIATEUR,K9PP113A30A.jpg
机械 Mécanique,冷卻系統,K9PP113A30A,散熱器,03,98 006 135 80,,02,散熱器固定爪,RADIATOR FIXING BRACKET,PATTE DE FIXATION DE RADIATEUR,K9PP113A30A.jpg
机械 Mécanique,冷卻系統,K9PP113A30A,散熱器,70,6924 32,,01,MUL RLX螺栓,(MUL) RLX SCREW,(MUL) VIS RLX,K9PP113A30A.jpg
机械 Mécanique,冷卻系統,K9PP113A30A,散熱器,71,8718 32,,02,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP113A30A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,01,98 124 418 80,,01,散熱器進水管接頭,RADIATOR WATER INLET HOSE,RACCORD ENTREE D’EAU RADIATEUR,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,02,98 457 552 80,,01,散熱器出水管接頭,RADIATOR OUTLET HOSE,RACCORD SORTIE D’EAU RADIATEUR,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,04,96 771 863 80,,01,散熱器除氣管,RADIATOR DEGASSING WATER PIPE,TUYAU DEGAZAGE RADIATEUR,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,07,98 127 530 80,,01,散熱器管卡子支架固定爪,RADIAT HOSE CLIP BRACKET LUG,PATTE SUPP AGRAFE TUYAU RADIAT,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,11,98 124 398 80,,01,膨脹罐水管接頭,EXPANSION BOTTLE COOLANT UNION,RACCORD EAU DE VASE EXPANSION,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,12,98 124 429 80,,01,氣缸蓋除氣管,CYLINDER HEAD DEGASSING PIPE,TUYAU DEGAZAGE CULASSE,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,70,4815 36,,01,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,72,79 03 301 235,,02,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E38A,冷卻系統水管,73,6936 62,,01,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP113E38A.jpg
机械 Mécanique,冷卻系統,K9PP113E90L,節溫器室、水溫開關,01,98 121 137 80,,01,發動機出水室,ENGINE WATER OUTLET TANK,BOITIER DE SORTIE EAU MOTEUR,K9PP113E90L.jpg
机械 Mécanique,冷卻系統,K9PP113E90L,節溫器室、水溫開關,03,98 130 219 80,,01,發動機出水室密封墊,ENGINE WATER HOUSING SEAL,JOINT DE BOITIER D’EAU MOTEUR,K9PP113E90L.jpg
机械 Mécanique,冷卻系統,K9PP113G55A,儲液罐,01,96 781 260 80,,01,發動機除氣罐,ENGINE WATER DEGASSING TANK,BOITE DE DEGAZAGE D’EAU MOTEUR,K9PP113G55A.jpg
机械 Mécanique,冷卻系統,K9PP113G55A,儲液罐,02,1306 J5,,01,增減壓閥門塞,VACUUM PRESSURE VALVE PLUG,BOUCHON SOUPAPE PRESS DEPRESS,K9PP113G55A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,01,16 352 552 80,,01,制動助力器,BRAKE AMPLIFIER,AMPLIFICATEUR DE FREINAGE,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,02,16 121 968 80,,01,制動主缸密封墊,BRAKE MASTER CYLINDER SEAL,JOINT DE MAITRE CYLINDRE FREIN,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,03,4576 05,RP 98 446 934 80,01/01,制動助力器閥門密封墊,SERVO VALVE SEAL,JOINT DE CLAPET AMPLIFICATEUR,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,04,16 122 286 80,RP 98 326 033 80,01/01,軸銷,SPINDLE,AXE,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,05,98 108 063 80,,01,制動壓力感測器,BRAKING VACUUM SENSOR,CAPTEUR DEPRESSION FREINAGE,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,06,98 130 950 80,,01,制動真空管接頭,BRAKE VACUUM UNION,RACCORD DE DEPRESSION DE FREIN,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,07,96 767 377 80,,01,制動真空管支架,BRAKE VACUUM PIPE SUPPORT,SUPPORT TUYAU DEPRESSION FREIN,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,08,16 736 047 80,,01,制動助力器密封墊,BRAKE AMPLIFIER GASKET,JOINT D’AMPLIFICATEUR FREINAGE,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,70,96 143 232 80,,01,燃油管支撐卡夾,FUEL PIPE SUPPORT CLIP,AGRAFE SUPPORT TUYAU CARBURANT,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,71,4503 33,,01,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445C01A,制動助力器接頭,72,98 018 984 80,,02,管固定卡,PIPE FASTENER CLIP,AGRAFE DE FIX TUYAU,K9PP445C01A.jpg
机械 Mécanique,制動助力,K9PP445E01A,真空泵,01,98 040 218 80,RP 98 501 095 80,01/01,機械真空泵,MECHANICAL VACUUM PUMP,POMPE A VIDE MECANIQUE,K9PP445E01A.jpg
机械 Mécanique,制動助力,K9PP445E01A,真空泵,02,4556 24,,01,真空泵密封墊元件,VACUUM PUMP SEAL ASSEMBLY,ENSEMBLE JOINT POMPE A VIDE,K9PP445E01A.jpg
机械 Mécanique,制動助力,K9PP445E01A,真空泵,03,0822 06,,01,六角凸緣自攻螺釘,TAP BASE H R BOLT,VIS H R EMBASE TARAUD,K9PP445E01A.jpg
机械 Mécanique,制動助力,K9PP445E01A,真空泵,70,6925 N6,,03,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP445E01A.jpg
机械 Mécanique,制動助力,K9PP445E12A,真空泵,01,98 040 218 80,RP 98 501 095 80,01/01,機械真空泵,MECHANICAL VACUUM PUMP,POMPE A VIDE MECANIQUE,K9PP445E12A.jpg
机械 Mécanique,制動助力,K9PP445E12A,真空泵,02,4556 24,,01,真空泵密封墊元件,VACUUM PUMP SEAL ASSEMBLY,ENSEMBLE JOINT POMPE A VIDE,K9PP445E12A.jpg
机械 Mécanique,制動助力,K9PP445E12A,真空泵,70,6925 N6,,03,(MUL) 凸緣螺栓,(MUL) FLANGED BOLT,(MUL) VIS A EMBASE,K9PP445E12A.jpg
机械 Mécanique,制動助力,K9PP445E12A,真空泵,71,0822 06,,01,六角凸緣自攻螺釘,TAP BASE H R BOLT,VIS H R EMBASE TARAUD,K9PP445E12A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,01,16 169 054 80,RP 16 380 514 80,01/01,制動主缸,BRAKE MASTER CYLINDER,MAITRE CYLINDRE DE FREIN,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,02,16 169 055 80,,01,制動液罐,BRAKE FLUID RESERVOIR,RESERVOIR DE LIQUIDE FREIN,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,03,16 169 056 80,RP 98 446 840 80,01/01,制動液儲液罐蓋,BRAKE RESERVOIR CAP,BOUCHON DE RESERVOIR DE FREIN,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,04,4576 05,RP 98 446 934 80,01/01,制動助力器閥門密封墊,SERVO VALVE SEAL,JOINT DE CLAPET AMPLIFICATEUR,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,05,16 121 968 80,,01,制動主缸密封墊,BRAKE MASTER CYLINDER SEAL,JOINT DE MAITRE CYLINDRE FREIN,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,06,16 169 057 80,RP 98 448 670 80,01/01,制動液開關,BRAKE FLUID SWITCH,CONTACTEUR LIQUIDE FREIN,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,07,4654 20,RP 16 478 836 80,01/01,總泵密封墊修理包,MASTER CYL RESERVOIR SEALS KIT,ENS JOINTS RESERV-M/CYLINDRE,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,08,16 122 286 80,RP 98 326 033 80,01/01,軸銷,SPINDLE,AXE,K9PP446A01A.jpg
机械 Mécanique,制動總泵,K9PP446A01A,制動總泵儲液罐,70,6936 35,,02,(MUL)凸緣螺母,(MUL) FLANGED NUT,(MUL) ECROU A EMBASE,K9PP446A01A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,01,4249 K1,,02,通風式制動盤,VENTILATED BRAKE DISC,DISQUE DE FREIN VENTILE,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,02,16 231 620 80,,01,新制動卡鉗液壓缸,NEW BRAKE CALIPER CYLINDER,CYLINDRE NEUF ETRIER DE FREIN,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,03,16 231 622 80,,02,制動卡鉗支架,BRAKE CALIPER YOKE,CHAPE ETRIER DE FREIN,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,04,16 369 254 80,RP 16 781 684 80,01/01,前制動塊元件,SET OF 4 FRONT BRAKE PADS,JEU DE 4 PLAQUETTES FREIN AV,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,05,4448 92,,02,前制動活塞密封圈修理包,FRONT BRAKE PISTON SEALING KIT,NEC ETANCHEITE PISTON FREIN AV,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,06,4439 33,RP 16 480 355 80,02/01,卡鉗柱銷修理包,SET COLUMN SCREW,NECESSAIRE COLONNETTE ETRIER,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,07,98 047 408 80,RP 16 926 475 80,04/01,制動鉗螺栓,BRAKE CALIPER FIXING SCREW,VIS FIXATION D’ETRIER DE FREIN,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,08,4428 55,RP 98 345 406 80,02/01,制動卡鉗排放螺栓,BRAKE CALIPER DRAIN SCREW,VIS DE PURGE D’ETRIER DE FREIN,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,09,4430 18,RP 98 345 396 80,02/01,制動液排空螺釘蓋,BRAKE BLEEDER SCREW CAP,CAPUCHON DE VIS DE PURGE FREIN,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,10,98 251 371 80,,02,夾片支承彈簧,BRAKE CALIPER LEVER SPRING,RESSORT MAINTIEN DE PLAQUETTES,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,11,4439 14,,02,卡鉗柱銷修理包,SET COLUMN SCREW,NECESSAIRE COLONNETTE ETRIER,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,12,98 151 837 80,RP 98 497 729 80,01/01,前制動盤保護裝置,FRONT BRAKE DISC PROTECTOR,PROTECTEUR DE DISQUE FREIN AV,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,70,6905 36,,04,(MUL) 埋頭金屬用螺釘,(MUL) COUNTERSUNK MACHNE SCREW,(MUL) VIS A METAUX TETE FRAISE,K9PP442A05A.jpg
机械 Mécanique,前制動器,K9PP442A05A,前制動盤 制動鉗 剎車片,71,6923 C6,,08,(MUL)六角頭帶墊圈螺栓,(MUL) TH SCREW WITH WASHER,(MUL) VIS TH RDL,K9PP442A05A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,01,98 211 130 80,,02,前懸掛彈簧,FRONT SUSPENSION SPRING,RESSORT DE SUSPENSION AVANT,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,02,98 004 797 80,,02,減震器支架,SHOCK-ABSORBER BRACKET,SUPPORT D’AMORTISSEUR,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,03,96 745 506 80,,06,帶彈性墊片六角頭螺栓,H RCN SCREW,VIS H RCN,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,04,98 175 924 80,RP 98 055 720 80,02/01,前懸掛支撐座,FRONT SUSPENSION REST CUP,COUPELLE D’APPUI SUSPENSION AV,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,05,98 136 657 80,RP 98 311 454 80,02/01,前懸掛彈性限位塊,FRONT SUSPENSION BUMP STOP,BUTEE ATTAQUE DE SUSPENSION AV,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,06,98 066 427 80,,02,前懸掛彈簧下支座,FR SUSP SPRING LOWR BASE PLATE,SEMELLE INF RESSORT SUSP AV,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,07,96 787 491 80,,02,碗形座,CUP,COUPELLE,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,08,96 787 825 80,,02,減震器活塞桿保護罩,SHOCK-ABSORBER ROD PROTECTOR,PROTECTEUR TIGE D’AMORTISSEUR,K9PP550A01A.jpg
机械 Mécanique,前彈簧,K9PP550A01A,前彈簧 前扭杆,09,5036 15,,02,(MUL) 六角螺帽,(MUL) HEXAGONAL NUT,(MUL) ECROU HEXAGONAL,K9PP550A01A.jpg
机械 Mécanique,前橫向穩定杆,K9PP550C01A,前橫向穩定杆,01,98 274 034 80,RP 98 472 412 80,01/01,前橫向穩定杆,FRONT ANTI-ROLL BAR,BARRE ANTIDEVERS AVANT,K9PP550C01A.jpg
机械 Mécanique,前橫向穩定杆,K9PP550C01A,前橫向穩定杆,02,98 315 470 80,RP 98 442 647 80,02/01,橫向穩定杆連桿,ANTI-ROLL BAR ROD,BIELLETTE BARRE ANTIDEVERS,K9PP550C01A.jpg
机械 Mécanique,前橫向穩定杆,K9PP550C01A,前橫向穩定杆,03,98 168 174 80,RP 98 331 422 80,04/01,前穩定連桿螺栓,FRONT ANTI-ROLL SCEW LINK,VIS BIELLETTE ANTIDEVERS AV,K9PP550C01A.jpg
机械 Mécanique,前橫向穩定杆,K9PP550C01A,前橫向穩定杆,04,4010 F7,,04,(MUL) 六角螺帽,(MUL) HEXAGONAL NUT,(MUL) ECROU HEXAGONAL,K9PP550C01A.jpg
机械 Mécanique,前橫向穩定杆,K9PP550C01A,前橫向穩定杆,05,98 168 682 80,,04,橫向穩定杆支架,ANTI-ROLL BAR SUPPORT,SUPPORT DE BARRE ANTI DEVERS,K9PP550C01A.jpg
机械 Mécanique,前減震器,K9PP552A01A,減振器,01,98 333 058 80,,02,前減震器,FRONT SUSPENSION DAMPER,AMORTISSEUR DE SUSPENSION AV,K9PP552A01A.jpg
机械 Mécanique,前減震器,K9PP552A01A,減振器,02,96 787 825 80,,02,減震器活塞桿保護罩,SHOCK-ABSORBER ROD PROTECTOR,PROTECTEUR TIGE D’AMORTISSEUR,K9PP552A01A.jpg
机械 Mécanique,前減震器,K9PP552A01A,減振器,03,98 007 517 80,,04,減震器螺栓,SHOCK-ABSORBER FIXING SCREW,VIS DE FIXATION D’AMORTISSEUR,K9PP552A01A.jpg
机械 Mécanique,前減震器,K9PP552A01A,減振器,70,5211 14,,04,減震器固定螺母,SHOCK-ABSORBER FIXING NUT,ECROU FIXATION D’AMORTISSEUR,K9PP552A01A.jpg
机械 Mécanique,前減震器,K9PP552A01A,減振器,71,5036 15,,02,(MUL) 六角螺帽,(MUL) HEXAGONAL NUT,(MUL) ECROU HEXAGONAL,K9PP552A01A.jpg
